block,plot,plot_id,trt,rooted_cover,clumps,scattered_inds,burrowing
1,1,1.1,burn,40,12,,
1,2,1.2,burn,20,6,,
1,3,1.3,ctrl,15,5,x,xx
1,4,1.4,burn,8,2,x,
1,5,1.5,dig,75,0,x,
1,6,1.6,ctrl,7,2,,x
1,7,1.7,dig,80,0,x,
1,8,1.8,spray,25,9,,x
1,9,1.9,ctrl,3,1,,xx
1,10,1.10,spray,30,6,x,x
1,11,1.11,ctrl,7,3,x,xx
1,12,1.12,burn,17,5,,x
1,13,1.13,burn,0,0,,x
1,14,1.14,ctrl,10,7,x,x
1,15,1.15,dig,3,0,x,
1,16,1.16,ctrl,0,0,,xx
1,17,1.17,dig,55,0,x,
1,18,1.18,burn,15,4,x,x
2,1,2.1,burn,39,12,,
2,2,2.2,burn,37,11,,
2,3,2.3,burn,40,11,,
2,4,2.4,dig,90,0,x,
2,5,2.5,ctrl,10,4,x,
2,6,2.6,ctrl,1,0,x,x
2,7,2.7,dig,78,0,x,
2,8,2.8,ctrl,9,3,,xx
2,9,2.9,spray,4,0,x,xx
2,10,2.10,ctrl,1,0,x,xx
2,11,2.11,spray,1,1,,x
2,12,2.12,burn,10,4,,xx
2,13,2.13,ctrl,1,0,x,xx
2,14,2.14,dig,5,1,,x
2,15,2.15,ctrl,0,0,,xx
2,16,2.16,burn,2,1,,x
2,17,2.17,dig,70,0,x,
2,18,2.18,burn,0,0,,xx
3,1,3.1,ctrl,1,0,x,xx
3,2,3.2,dig,95,0,x,
3,3,3.3,burn,35,10,,
3,4,3.4,dig,90,0,x,
3,5,3.5,ctrl,8,3,,xx
3,6,3.6,burn,35,10,,
3,7,3.7,burn,40,12,,
3,8,3.8,ctrl,2,1,,xx
3,9,3.9,burn,15,8,,xx
3,10,3.10,burn,8,2,,xx
3,11,3.11,dig,55,0,x,
3,12,3.12,ctrl,17,5,,xx
3,13,3.13,dig,20,1,,
3,14,3.14,burn,32,9,,
3,15,3.15,spray,1,0,x,xx
3,16,3.16,ctrl,1,0,x,xx
3,17,3.17,spray,3,2,,xx
3,18,3.18,ctrl,0,0,,xx
4,1,4.1,burn,22,9,,
4,2,4.2,burn,1,0,x,xx
4,3,4.3,ctrl,12,2,x,
4,4,4.4,burn,16,5,,x
4,5,4.5,dig,30,0,x,x
4,6,4.6,ctrl,17,4,,x
4,7,4.7,dig,12,0,x,
4,8,4.8,ctrl,14,5,x,xx
4,9,4.9,burn,25,8,,xx
4,10,4.10,burn,26,9,,xx
4,11,4.11,dig,75,0,x,
4,12,4.12,burn,0,0,,xx
4,13,4.13,dig,0,0,,
4,14,4.14,ctrl,0,0,,xx
4,15,4.15,spray,23,10,,xx
4,16,4.16,ctrl,14,4,,xx
4,17,4.17,spray,30,10,,
4,18,4.18,ctrl,3,4,,xx
5,1,5.1,ctrl,3,2,,xx
5,2,5.2,spray,35,10,,
5,3,5.3,ctrl,5,2,,xx
5,4,5.4,spray,15,5,,xx
5,5,5.5,dig,0,0,,xx
5,6,5.6,burn,10,3,,xx
5,7,5.7,ctrl,7,2,,xx
5,8,5.8,dig,65,0,x,
5,9,5.9,ctrl,15,5,,x
5,10,5.10,burn,0,0,,xx
5,11,5.11,burn,17,4,,x
5,12,5.12,burn,1,0,x,xx
5,13,5.13,ctrl,10,4,,xx
5,14,5.14,ctrl,5,0,x,xx
5,15,5.15,dig,85,0,x,
5,16,5.16,burn,18,6,,x
5,17,5.17,burn,14,4,,xx
5,18,5.18,dig,90,0,x,